a	a:
stúdent	s t u: t E n_0 t
stúdenta	s t u: t E n_0 t a
stúdentana	s t u: t E n_0 t a n a
stúdentanna	s t u: t E n_0 t a n a
stúdentar	s t u: t E n_0 t a r
stúdentaráði	s t u: t E n_0 t a r au: D I
stúdentinn	s t u: t E n_0 t I n
stúdentinum	s t u: t E n_0 t I n Y m
stúdentsins	s t u: t E n_0 t s I n s
stúdentsprófs	s t u: t E n_0 t s p r ou f s
stúdentum	s t u: t E n_0 t Y m
stúdíó	s t u: t i j ou
stúfana	s t u: a n a
stúfs	s t u f s
stúfur	s t u: v Y r
stúi	s t u: I
stúku	s t u: k Y
stúkuna	s t u: k Y n a
stúkunni	s t u: k Y n I
stúlka	s t u l_0 k a
stúlkan	s t u l_0 k a n
stúlkna	s t u l_0 k n a
stúlknanna	s t u l_0 k n a n a
stúlku	s t u l_0 k Y
stúlkum	s t u l_0 k Y m
stúlkuna	s t u l_0 k Y n a
stúlkunnar	s t u l_0 k Y n a r
stúlkunni	s t u l_0 k Y n I
stúlkunum	s t u l_0 k O n Y m
stúlkur	s t u l_0 k Y r
stúlkurnar	s t u l_0 k Y r t n a r
stússa	s t u s a
stússi	s t u s I
stúta	s t u: t a
stútfull	s t u: t f Y t l_0
stútinn	s t u: t I n
stútkönnunni	s t u: t k_h 9 n Y n I
stútnum	s t u h t n Y m
stýra	s t i: r a
stýri	s t i: r I
stýring	s t i: r i N k
stýringu	s t i: r i N k Y
stýrinu	s t i: r I n Y
stýrir	s t i: r I r
stýrishanskarnir	s t i: r I s h a n s k a t n I r
stýrið	s t i: r I D
stýrt	s t i r_0 t
stýrði	s t i r D I
stýrðu	s t i r D Y
subbulegt	s Y p Y l E x t
sukku	s Y h k Y
sull	s Y t l_0
sulla	s Y t l a
sullandi	s Y t l a n t I
sullaði	s Y t l a D I
sullaðist	s Y t l a D I s t
sulta	s Y l_0 t a
sulti	s Y l_0 t I
sultu	s Y l_0 t Y
sultukrukku	s Y l_0 t Y k r Y h k Y
sultuna	s Y l_0 t Y n a
sultunni	s Y l_0 t Y n I
sulturinn	s Y l_0 t Y r I n
sum	s Y: m
suma	s Y: m a
sumar	s Y: m a r
sumarafgreiðslutími	s Y: m a r a v k r ei D s t l Y t i: m I
sumarbrids	s Y: m a r p r I t s
sumarbústaðinn	s Y: m a r p u: s t a D I n
sumardekkjum	s Y: m a r t E h c Y m
sumarexemi	s Y: m a r E k s E m I
sumarfría	s Y: m a r f r i j a
sumarfríi	s Y: m a r_0 f r i: j I
sumarfríið	s Y: m a r_0 f r i: j I D
sumarið	s Y: m a r I D
sumarlokunum	s Y: m a r l O: k Y n Y m
sumarmánuðina	s Y: m a r m au: n Y D I n a
sumarorlofstíma	s Y: m a r O r l O f s t_h i: m a
sumarorlofstímabili	s Y: m a r O r l O f s t_h i: m a p I l I
sumars	s Y: m a r_0 s
sumarsins	s Y: m a r_0 s I n s
sumarspegillinn	s Y: m a r s p ei j I t l I n
sumartímann	s Y: m a r t i: m a n
sumaryl	s Y: m a r I: l
sumbli	s Y m p l I
sumir	s Y: m I r
summa	s Y m a
sumpart	s Y m p a r_0 t
sumra	s Y m r a
sumri	s Y m r I
sumrin	s Y m r I n
sumrinu	s Y m r I n Y
sumrum	s Y m r Y m
sums	s Y m s
sumstaðar	s Y m s t a D a r
sumsé	s Y m s j E:
sumt	s Y m_0 t
sumum	s Y: m Y m
sumur	s Y: m Y r
sund	s Y n t
sundahöfn	s Y n t a h 9 p n_0
sundbolur	s Y n t p O: l Y r
sundbuxur	s Y n t p Y k s Y r
sundhetta	s Y n t h E h t a
sundhöll	s Y n t h 9 t l_0
sundhöllin	s Y n t h 9 t l I n
sundhöllinni	s Y n t h 9 t l I n I
sundi	s Y n t I
sundin	s Y n t I n
sundinu	s Y n t I n Y
sundið	s Y n t I D
sundkennarann	s Y n t c E n a r a n
sundlar	s Y n t l a r
sundlaug	s Y n t l 9Y G
sundlaugar	s Y n t l 9Y G a r
sundlaugarinnar	s Y n t l 9Y G a r I n a r
sundlaugin	s Y n t l 9Y j I n
sundlaugina	s Y n t l 9Y j I n a
sundlauginni	s Y n t l 9Y j I n I
sundlaugum	s Y n t l 9Y G Y m
sundlaði	s Y n t l a D I
sundmanna	s Y n t m a n a
sundmaður	s Y n t m a D Y r
sundmenn	s Y n t m E n
sundmiðstöð	s Y n t m I D s t 9 D
sundrast	s Y n t r a s t
sundrað	s Y n t r a D
sundraði	s Y n t r a D I
sundraðist	s Y n t r a D I s t
sunds	s Y n t s
sundstaðir	s Y n t s t a D I r
sundtíma	s Y n t_h i m a
sundtímanum	s Y n t_h i m a n Y m
sundtök	s Y n t t 9 k
sundtökunum	s Y n t_h 9 k O n Y m
sundur	s Y n t Y r
sundurleitir	s Y n t Y r l ei: t I r
sundurleitustu	s Y n t Y r l ei: t Y s t Y
sundurliðaður	s Y n t Y r l I: D a D Y r
sundurskotið	s Y n t Y r_0 s k O: t I D
sungin	s u J c I n
sunginn	s u J c I n
sungið	s u J c I D
sungnir	s u N n I r
sungum	s u N k Y m
sunna	s Y n a
sunnan	s Y n a n
sunnanverðum	s Y n a n v E r D Y m
sunnar	s Y n a r
sunneva	s Y n E v a
sunnlendinga	s Y n l E n t i N k a
sunnlendingum	s Y n l E n t i N k Y m
sunnu	s Y n Y
sunnudagsbíltúrana	s Y n Y t a x s p i l t u r a n a
surts	s Y r_0 t s
surtsey	s Y r_0 t s ei
sus	s Y: s
suss	s Y s
sussaði	s Y s a D I
suð	s Y: D
suða	s Y: D a
suðandi	s Y: D a n t I
suðar	s Y: D a r
suðarar	s Y: D a r a r
suðaustan	s Y: D 9Y s t a n
suðaustur	s Y: D 9Y s t Y r
suðað	s Y: D a D
suðaði	s Y: D a D I
suðið	s Y: D I D
suðri	s Y D r I
suðu	s Y: D Y
suður	s Y: D Y r
suðurbæjarlaug	s Y: D Y r p ai j a r l 9Y: G
suðurlandströllið	s Y: D Y r l a n t s t_h r 9 t l I D
suðurlandsveg	s Y: D Y r l a n t s v E: G
suðurlandsvegi	s Y: D Y r l a n t s v ei: j I
suðurnesin	s Y: D Y r n E: s I n
suðurnesja	s Y: D Y r n E: s j a
suðurnesjum	s Y: D Y r n E s j Y m
suðurs	s Y: D Y r_0 s
suðurstrandarinnar	s Y: D Y r s t r a n t a r I n a r
suðvestan	s Y D v E s t a n
suðvestur	s Y D v E s t Y r
suðvesturhlutanum	s Y D v E s t Y r l_0 Y: t a n Y m
suðvesturskagann	s Y D v E s t Y r_0 s k a G a n
svaf	s v a: v
svafst	s v a f s t
svaka	s v a: k a
svakaleg	s v a: k a l E G
svakalega	s v a: k a l E G a
svakalegasta	s v a: k a l E: G a s t a
svakalegra	s v a: k a l E G r a
svakalegri	s v a: k a l E G r I
svakalegt	s v a: k a l E x t
svala	s v a: l a
svalandi	s v a: l a n t I
svalar	s v a: l a r
svalara	s v a: l a r a
svalasta	s v a: l a s t a
svalað	s v a: l a D
svalaði	s v a: l a D I
svalbarða	s v a l p a r D a
svalbarði	s v a l p a r D I
svalbarðseyri	s v a l p a r s ei: r I
svalbarðsstrandarhreppi	s v a l p a r D s t r a n t a r_0 E h p I
svalbarðsströnd	s v a l p a r D s t r 9 n t
svali	s v a: l I
svalir	s v a: l I r
svall	s v a t l_0
svalt	s v a l_0 t
svalur	s v a: l Y r
svalviðri	s v a l v I D r I
svamp	s v a m_0 p
svampefni	s v a m_0 p E p n I
svampfylling	s v a m_0 p f I t l i N k
svampgrýta	s v a m_0 p k r i t a
svampi	s v a m_0 p I
svampsessur	s v a m_0 p s E s Y r
svan	s v a: n
svana	s v a: n a
svanborg	s v a m p O r k
svandís	s v a n t i s
svanfríður	s v a n f r i D Y r
svanginn	s v au J c I n
svangur	s v au N k Y r
svanhildar	s v a: n h I l t a r
svanhildi	s v a: n h I l t I
svanhildur	s v a: n h I l t Y r
svanhvít	s v a N k v i t
svanhvítar	s v a N k v i t a r
svani	s v a: n I
svanir	s v a: n I r
svanirnir	s v a: n I r t n I r
svansdóttir	s v a n s t ou h t I r
svansmerkið	s v a n s m E r_0 c I D
svanurinn	s v a: n Y r I n
svar	s v a: r
svara	s v a: r a
svarafátt	s v a: r a f au h t
svarar	s v a: r a r
svarað	s v a: r a D
svaraði	s v a: r a D I
svaraðir	s v a: r a D I r
svaraðu	s v a: r a D Y
svarblöðin	s v a r p l 9 D I n
svarbréf	s v a r p r j E v
svarbréfin	s v a r p r j E: v I n
svarenda	s v a: r E n t a
svarfdæla	s v a r v t ai l a
svarhólf	s v a: r h ou l v
svari	s v a: r I
svarinn	s v a: r I n
svarinu	s v a: r I n Y
svarið	s v a: r I D
svars	s v a r_0 s
svart	s v a r_0 t
svarta	s v a r_0 t a
svartamyrkur	s v a r_0 t a m I r_0 k Y r
svartan	s v a r_0 t a n
svartar	s v a r_0 t a r
svartasta	s v a r_0 t a s t a
svartfjallaland	s v a r_0 t f j a t l a l a n t
svartfjallalandi	s v a r_0 t f j a t l a l a n t I
svartfjallalands	s v a r_0 t f j a t l a l a n s
svarthvít	s v a r_0 t k v i t
svarthvítar	s v a r_0 t k v i t a r
svarthvítt	s v a r_0 t k_h v i h t
svarti	s v a r_0 t I
svartir	s v a r_0 t I r
svartklædd	s v a r_0 t k l ai t
svartklæddar	s v a r_0 t k l ai t a r
svartlistasafnið	s v a r_0 t l I s t a s a p n I D
svartra	s v a r_0 t r a
svartri	s v a r_0 t r I
svartrottuna	s v a r_0 t r O h t Y n a
svarts	s v a r_0 t s
svartsengi	s v a r_0 t s ei J c I
svartur	s v a r_0 t Y r
svava	s v a: v a
svavar	s v a: v a r
svavari	s v a: v a r I
svavars	s v a: v a r_0 s
svaðinu	s v a: D I n Y
svaðið	s v a: D I D
svefn	s v E p n_0
svefnfelmtur	s v E p n_0 f E l m_0 t Y r
svefnherbergishurðina	s v E p n h E r p E c I s h Y r D I n a
svefnherbergið	s v E p n h E r p E c I D
svefnhöfgi	s v E p n h 9 v c I
svefni	s v E p n I
svefninn	s v E p n I n
svefninum	s v E p n I n Y m
svefns	s v E p s
svefnskálann	s v E p s k au l a n
sveif	s v ei: v
sveifla	s v ei p l a
sveiflar	s v ei p l a r
sveiflast	s v ei p l a s t
sveiflaði	s v ei p l a D I
sveiflaðist	s v ei p l a D I s t
sveiflu	s v ei p l Y
sveiflum	s v ei p l Y m
sveiflur	s v ei p l Y r
sveiflurnar	s v ei p l Y t n a r
sveifluðust	s v ei p l Y D Y s t
sveigir	s v ei j I r
sveigja	s v ei j a
sveigjanlegri	s v ei j a n l E G r I
sveigjanlegt	s v ei j a n l E x t
sveigjanlegur	s v ei j a n l E: G Y r
sveigjanleika	s v ei j a n l ei: k a
sveigjanleiki	s v ei j a n l ei: k I
sveigt	s v ei x t
sveigðist	s v ei G D I s t
sveigðu	s v ei G D Y
sveigðum	s v ei G D Y m
sveik	s v ei: k
sveima	s v ei: m a
sveimar	s v ei: m a r
sveimaði	s v ei: m a D I
sveimi	s v ei: m I
svein	s v ei: n
sveina	s v ei: n a
sveinbarn	s v ei m p a r t n_0
sveinbjörn	s v ei m p j 9 r t n_0
sveini	s v ei: n I
sveininn	s v ei: n I n
sveinn	s v ei t n_0
sveipar	s v ei: p a r
sveipað	s v ei: p a D
sveipaðir	s v ei: p a D I r
sveipaður	s v ei: p a D Y r
sveit	s v ei: t
sveita	s v ei: t a
sveitanna	s v ei: t a n a
sveitar	s v ei: t a r
sveitarferðinni	s v ei: t a r f E r D I n I
sveitarinnar	s v ei: t a r I n a r
sveitarstjórnir	s v ei: t a r s t j ou r t n I r
sveitin	s v ei: t I n
sveitina	s v ei: t I n a
sveitinni	s v ei: t I n I
sveitir	s v ei: t I r
sveitirnar	s v ei: t I r t n a r
sveitt	s v ei h t
sveitta	s v ei h t a
sveittan	s v ei h t a n
sveittir	s v ei h t I r
sveittum	s v ei h t Y m
sveittur	s v ei h t Y r
sveitum	s v ei: t Y m
sveitunga	s v ei: t u N k a
sveitungar	s v ei: t u N k a r
sveitungum	s v ei: t u N k Y m
sveitunum	s v ei: t O n Y m
svekkja	s v E h c a
svekkjandi	s v E h c a n t I
svekktur	s v E x t Y r
svelgdist	s v E l t I s t
svellandi	s v E t l a n t I
svellum	s v E t l Y m
svelta	s v E l_0 t a
svelti	s v E l_0 t I
sven	s v E n
svengd	s v ei N t
svenna	s v E n a
svenni	s v E n I
svensson	s v E n s O n
sveppa	s v E h p a
sveppalyfið	s v E h p a l I: v I D
sveppi	s v E h p I
sveppir	s v E h p I r
sveppum	s v E h p Y m
sver	s v E: r
svera	s v E: r a
sverfi	s v E r v I
sverið	s v E: r I D
sverja	s v E r j a
sverri	s v E r I
sverrir	s v E r I r
sverris	s v E r I s
sverta	s v E r_0 t a
svertingi	s v E r_0 t i J c I
svertinginn	s v E r_0 t i J c I n
svertingjum	s v E r_0 t i J c Y m
svertingsson	s v E r_0 t i N k s O: n
sverum	s v E: r Y m
sverð	s v E r D
sverði	s v E r D I
sverðinu	s v E r D I n Y
sverðið	s v E r D I D
sverðum	s v E r D Y m
sveskja	s v E s c a
sveðju	s v E D j Y
svifdrekaflug	s v I v t r E k a f l Y: G
svifflug	s v I f l Y G
svifi	s v I: v I
svifið	s v I: v I D
svifnökkva	s v I v n 9 h k v a
svifryk	s v I v r I k
svifrykið	s v I v r I c I D
svifu	s v I: v Y
svifum	s v I: v Y m
svig	s v I: G
sviga	s v I: G a
svigi	s v I j I
sviginn	s v i: j I n
svignaskarði	s v I k n a s k a r D I
svignaði	s v I k n a D I
svignuðu	s v I k n Y D Y
svigrúm	s v I G r u m
svigrúms	s v I G r u m s
svik	s v I: k
svika	s v I: k a
svikara	s v I: k a r a
svikari	s v I: k a r I
svikin	s v I: c I n
svikinn	s v I: c I n
svikist	s v I: c I s t
svikið	s v I: c I D
sviknir	s v I h k n I r
svikráðum	s v I: k r au D Y m
sviksemi	s v I: k s E m I
sviku	s v I: k Y
svikula	s v I: k Y l a
svikum	s v I: k Y m
svima	s v I: m a
svimandi	s v I: m a n t I
svimar	s v I: m a r
svimaði	s v I: m a D I
svimi	s v I: m I
sviminn	s v I: m I n
svindl	s v I n t l_0
svindla	s v I n t l a
svindlað	s v I n t l a D
svindlvörn	s v I n t l v 9 r t n_0
svip	s v I: p
svipa	s v I: p a
svipan	s v I: p a n
svipar	s v I: p a r
svipast	s v I: p a s t
svipað	s v I: p a D
svipaða	s v I: p a D a
svipaðan	s v I: p a D a n
svipaðar	s v I: p a D a r
svipaði	s v I: p a D I
svipaðir	s v I: p a D I r
svipaðri	s v I: p a D r I
svipaður	s v I: p a D Y r
svipbrigðalaus	s v I: p r I G D a l 9Y: s
svipbrigði	s v I: p r I G D I
sviphendingu	s v I: p h E n t i N k Y
svipinn	s v I: p I n
svipir	s v I: p I r
sviplaus	s v I: p l 9Y s
sviplaust	s v I: p l 9Y s t
sviplega	s v I: p l E G a
svipmyndir	s v I: p m I n t I r
svipmyndum	s v I: p m I n t Y m
svipmót	s v I: p m ou t
svipnum	s v I h p n Y m
svipstundu	s v I: p s t Y n t Y
svipt	s v I f t
svipta	s v I f t a
svipti	s v I f t I
sviptingar	s v I f t i N k a r
sviptingu	s v I f t i N k Y
sviptir	s v I f t I r
sviptist	s v I f t I s t
sviptu	s v I f t Y
sviptur	s v I f t Y r
svipu	s v I: p Y
svipul	s v I: p Y l
svipuna	s v I: p Y n a
svipunni	s v I: p Y n I
svipur	s v I: p Y r
svipurinn	s v I: p Y r I n
svipuð	s v I: p Y D
svipuðu	s v I: p Y D Y
svipuðum	s v I: p Y D Y m
sviss	s v I s
svissnesk	s v I s t n E s k
svissneska	s v I s t n E s k a
svissneski	s v I s t n E s c I
svissneskra	s v I s t n E s k r a
svissnesku	s v I s t n E s k Y
svita	s v I: t a
svitadroparnir	s v I: t a t r O: p a t n I r
svitann	s v I: t a n
svitaperlur	s v I: t a p E r t l Y r
sviti	s v I: t I
svitinn	s v I: t I n
svitna	s v I h t n a
svitnað	s v I h t n a D
svitnaði	s v I h t n a D I
svið	s v I: D
sviða	s v I: D a
sviðann	s v I: D a n
sviði	s v I: D I
sviðinn	s v I: D I n
sviðinu	s v I: D I n Y
sviðið	s v I: D I D
sviðnar	s v I D n a r
sviðnir	s v I D n I r
sviðs	s v I D s
sviðsetja	s v I D s E t j a
sviðsett	s v I D s E h t
sviðsins	s v I D s I n s
sviðslistir	s v I D s t l I s t I r
sviðsljósinu	s v I D s t l j ou s I n Y
sviðsljósið	s v I D s t l j ou s I D
sviðsmyndina	s v I D s m I n t I n a
sviðum	s v I: D Y m
svo	s v O:
svokallað	s v O: k a t l a D
svokallaða	s v O: k a t l a D a
svokallaðan	s v O: k a t l a D a n
svokallaðar	s v O: k a t l a D a r
svokallaði	s v O: k a t l a D I
svokallaðir	s v O: k a t l a D I r
svokallaðra	s v O: k a t l a D r a
svokallaðrar	s v O: k a t l a D r a r
svokallaðri	s v O: k a t l a D r I
svokallaðs	s v O: k a t l a D s
svokallaður	s v O: k a t l a D Y r
svokölluð	s v O: k 9 t l Y D
svokölluðu	s v O: k 9 t l Y D Y
svokölluðum	s v O: k 9 t l Y D Y m
svoleiðis	s v O: l ei D I s
svolgra	s v O l k r a
svolitla	s v O: l I h t l a
svolitlum	s v O: l I h t l Y m
svolítil	s v O: l i t I l
svolítill	s v O: l i t I t l_0
svolítilli	s v O: l i t I t l I
svolítinn	s v O: l i t I n
svolítið	s v O: l i t I D
svona	s v O: n a
svonefnd	s v O: n E m t
svonefnda	s v O: n E m t a
svonefndan	s v O: n E m t a n
svonefndar	s v O: n E m t a r
svonefndra	s v O: n E m t r a
svonefndri	s v O: n E m t r I
svonefndu	s v O: n E m t Y
svonefndum	s v O: n E m t Y m
svuntunni	s v Y n_0 t Y n I
sváfu	s v au: v Y
sváfum	s v au: v Y m
svæfa	s v ai: v a
svæfi	s v ai: v I
svæfu	s v ai: v Y
svæfði	s v ai v D I
svæðanna	s v ai: D a n a
svæði	s v ai: D I
svæðis	s v ai: D I s
svæðisins	s v ai: D I s I n s
svæðisskipulagi	s v ai: D I s c I: p Y l ai j I
svæðið	s v ai: D I D
svæðum	s v ai: D Y m
svæðunum	s v ai: D O n Y m
svía	s v i: j a
svíar	s v i: j a r
svíarnir	s v i: j a t n I r
svíf	s v i: v
svífa	s v i: v a
svífandi	s v i: v a n t I
svífst	s v i f s t
svífur	s v i: v Y r
svíi	s v i: j I
svíinn	s v i: j I n
svíkja	s v i: c a
svíkur	s v i: k Y r
svín	s v i: n
svína	s v i: n a
svínabú	s v i: n a p u
svínakjöti	s v i: n a c 9: t I
svínalundir	s v i: n a l Y n t I r
svínavatnshreppi	s v i: n a v a s r_0 E h p I
svíni	s v i: n I
svínin	s v i: n I n
svíninu	s v i: n I n Y
svínið	s v i: n I D
svínshaus	s v i n s h 9Y s
svínshríni	s v i n s r_0 i n I
svínvirkar	s v i n v I r_0 k a r
svíta	s v i: t a
svítan	s v i: t a n
svítu	s v i: t Y
svíum	s v i: j Y m
svívirt	s v i: v I r_0 t
svívirðingar	s v i: v I r D i N k a r
svívirðingum	s v i: v I r D i N k Y m
svívirðu	s v i: v I r D Y
svíðandi	s v i: D a n t I
svíður	s v i: D Y r
svíþjóð	s v i: T j ou D
svöl	s v 9: l
svölu	s v 9: l Y
svölum	s v 9: l Y m
svölun	s v 9: l Y n
svölunum	s v 9: l O n Y m
svölustu	s v 9: l Y s t Y
svömpum	s v 9 m_0 p Y m
svöng	s v 9Y N k
svönu	s v 9: n Y
svör	s v 9: r
svörfuður	s v 9 r v Y D Y r
svörin	s v 9: r I n
svört	s v 9 r_0 t
svörtu	s v 9 r_0 t Y
svörtum	s v 9 r_0 t Y m
svörum	s v 9: r Y m
svörun	s v 9: r Y n
svörunum	s v 9: r O n Y m
svöruðu	s v 9: r Y D Y
svörðinn	s v 9 r D I n
svövu	s v 9: v Y
syfjaður	s I v j a D Y r
syfju	s I v j Y
syfjulega	s I v j Y l E G a
syfjulegum	s I v j Y l E G Y m
sykki	s I h c I
sykur	s I: k Y r
sykurhúðaður	s I: k Y r_0 h u: D a D Y r
sykurmolunum	s I: k Y r m O: l O n Y m
sykurpúða	s I: k Y r_0 p_h u: D a
sykurs	s I: k Y r_0 s
sykursjúkum	s I: k Y r_0 s j u: k Y m
syllu	s I t l Y
syllum	s I t l Y m
sylvía	s I l v i j a
synd	s I n t
synda	s I n t a
syndajátningar	s I n t a j au h t n i N k a r
syndajátningu	s I n t a j au h t n i N k Y
syndandi	s I n t a n t I
syndanna	s I n t a n a
syndara	s I n t a r a
syndarann	s I n t a r a n
syndga	s I N k a
syndin	s I n t I n
syndina	s I n t I n a
syndir	s I n t I r
syndum	s I n t Y m
syng	s i N k
syngdu	s i N t Y
syngi	s i J c I
syngið	s i J c I D
syngja	s i J c a
syngjandi	s i J c a n t I
syngjum	s i J c Y m
syngur	s i N k Y r
syni	s I: n I
synina	s I: n I n a
syninum	s I: n I n Y m
synir	s I: n I r
synirnir	s I: n I r t n I r
synja	s I n j a
synjað	s I n j a D
synjun	s I n j Y n
synt	s I n_0 t
synti	s I n_0 t I
syrgja	s I r c a
syrgjandi	s I r c a n t I
syrgjum	s I r c Y m
syrgði	s I r D I
syrpu	s I r_0 p Y
systir	s I s t I r
systirin	s I s t I r I n
systkin	s I s c I n
systkina	s I s c I n a
systkinanna	s I s c I n a n a
systkini	s I s c I n I
systkinin	s I s c I n I n
systkinum	s I s c I n Y m
systkinunum	s I s c I n O n Y m
systra	s I s t r a
systrakaffi	s I s t r a k a f I
systralag	s I s t r a l a G
systranna	s I s t r a n a
systrareglunnar	s I s t r a r E k l Y n a r
systrum	s I s t r Y m
systrunum	s I s t r O n Y m
systur	s I s t Y r
syðra	s I D r a
syðri	s I D r I
syðridalsvelli	s I D r I t a l s v E t l I
syðst	s I D s t
syðsti	s I D s t I
sáir	s au: I r
sál	s au: l
sálar	s au: l a r
sálarinnar	s au: l a r I n a r
sálarkvöl	s au: l a r k v 9: l
sálarró	s au: l a r ou:
sáldraði	s au l t r a D I
sálfræði	s au l f r ai D I
sálfræðinga	s au l f r ai D i N k a
sálfræðingar	s au l f r ai D i N k a r
sálfræðingi	s au l f r ai D i J c I
sálfræðings	s au l f r ai D i N s
sálfræðingurinn	s au l f r ai D i N k Y r I n
sálin	s au: l I n
sálina	s au: l I n a
sálinni	s au: l I n I
sálir	s au: l I r
sálm	s au l m
sálma	s au l m a
sálmar	s au l m a r
sálmi	s au l m I
sálmum	s au l m Y m
sálmur	s au l m Y r
sálna	s au l n a
sálu	s au: l Y
sáluga	s au: l Y G a
sálugi	s au: l Yi j I
sálugu	s au: l Y G Y
sápa	s au: p a
sápu	s au: p Y
sápuna	s au: p Y n a
sápunni	s au: p Y n I
sár	s au: r
sára	s au: r a
sáran	s au: r a n
sárari	s au: r a r I
sáraristilbólgu	s au: r a r I s t I l p ou l k Y
sárast	s au: r a s t
sárasta	s au: r a s t a
sárbændi	s au: r p ai n t I
sárin	s au: r I n
sárindum	s au: r I n t Y m
sárinu	s au: r I n Y
sárir	s au: r I r
sárið	s au: r I D
sárlega	s au r l E G a
sárnað	s au r t n a D
sárnaði	s au r t n a D I
sárrar	s au r a r
sárri	s au r I
sársauka	s au r_0 s 9Y: k a
sársaukafullt	s au r_0 s 9Y k a f Y l_0 t
sársaukann	s au r_0 s 9Y k a n
sársaukans	s au r_0 s 9Y k a n s
sársaukanum	s au r_0 s 9Y k a n Y m
sársauki	s au r_0 s 9Y c I
sársaukinn	s au r_0 s 9Y c I n
sárt	s au r_0 t
sárum	s au: r Y m
sárustu	s au: r Y s t Y
sárþjáður	s au r_0 T j au D Y r
sást	s au s t
sástu	s au s t Y
sátt	s au h t
sátta	s au h t a
sáttfús	s au h t f u s
sáttir	s au h t I r
sáttmála	s au h t m au l a
sáttmálann	s au h t m au l a n
sáttmálans	s au h t m au l a n s
sáttmálanum	s au h t m au l a n Y m
sáttmálinn	s au h t m au l I n
sáttum	s au h t Y m
sáttur	s au h t Y r
sátu	s au: t Y
sátum	s au: t Y m
sáu	s au: Y
sáum	s au: Y m
sáumst	s au: Y m s t
sáust	s au: Y s t
sáuð	s au: Y D
sáð	s au: D
sáðmenn	s au D m E n
sæ	s ai:
sæberg	s ai: p E r k
sæbjörn	s ai: p j 9 r t n_0
sæg	s ai: G
sægur	s ai: G Y r
sæist	s ai j I s t
sæju	s ai j Y
sæjum	s ai j Y m
sæjust	s ai j Y s t
sæki	s ai: c I
sækir	s ai: c I r
sækist	s ai: c I s t
sækjum	s ai: c Y m
sækti	s ai x t I
sæktu	s ai x t Y
sæl	s ai: l
sæla	s ai: l a
sælan	s ai: l a n
sælar	s ai: l a r
sælda	s ai l t a
sælgæti	s ai l c ai t I
sælgætið	s ai l c ai t I D
sæli	s ai: l I
sælingsdal	s ai l i N k s t a l
sæll	s ai t l_0
sælu	s ai: l Y
sæluríkið	s ai: l Y r i: c I D
sæma	s ai: m a
sæmandi	s ai: m a n t I
sæmd	s ai m t
sæmdar	s ai m t a r
sæmdi	s ai m t I
sæmdur	s ai m t Y r
sæmileg	s ai: m I l E G
sæmilega	s ai: m I l E G a
sæmilegan	s ai: m I l E G a n
sæmilegu	s ai: m I l E G Y
sæmir	s ai: m I r
sæmundar	s ai: m Y n t a r
sæmundi	s ai: m Y n t I
sæmundsdóttir	s ai: m Y n t s t ou h t I r
sæmundsdóttur	s ai: m Y n t s t ou h t Y r
sæmundsson	s ai: m Y n t s O: n
sæmundssonar	s ai: m Y n t s O: n a r
sæmundur	s ai: m Y n t Y r
sæng	s ai N k
sængin	s ai J c I n
sængina	s ai J c I n a
sænginni	s ai J c I n I
sængurföt	s ai N k Y r f 9: t
sængurnar	s ai N k Y r t n a r
sænsk	s ai n s k
sænska	s ai n s k a
sænskan	s ai n s k a n
sænskar	s ai n s k a r
sænski	s ai n s c I
sænskir	s ai n s c I r
sænskra	s ai n s k r a
sænskri	s ai n s k r I
sænskt	s ai n s t
sænsku	s ai n s k Y
sænskum	s ai n s k Y m
sænskur	s ai n s k Y r
særa	s ai: r a
særingar	s ai: r i N k a r
særingum	s ai: r i N k Y m
særir	s ai: r I r
særst	s ai r_0 s t
sært	s ai r_0 t
særðan	s ai r D a n
særðist	s ai r D I s t
særðu	s ai r D Y
særðum	s ai r D Y m
særður	s ai r D Y r
særðust	s ai r D Y s t
særún	s ai: r u n
sæt	s ai: t
sæta	s ai: t a
sætaldintrénu	s ai: t a l t I n t r j E: n Y
sætan	s ai: t a n
sætanna	s ai: t a n a
sætar	s ai: t a r
sætari	s ai: t a r I
sæti	s ai: t I
sætin	s ai: t I n
sætindi	s ai: t I n t I
sætinu	s ai: t I n Y
sætir	s ai: t I r
sætis	s ai: t I s
